Name,Sex,Age,Height1,Weight1,Height2,Weight2,BMI,Team,Year,Season,City,Event,Medal
Megan Elizabeth Heinicke-Tandy,F,21,170,60.18,66.929,132.396,20.82352941,CAN,2010,Winter,Vancouver,Biathlon Women's 7.5 kilometres Sprint,None
Megan Imrie,F,23,167,57.25,65.7479,125.95,20.52780666,CAN,2010,Winter,Vancouver,Biathlon Women's 7.5 kilometres Sprint,None
Melanie MacKay,F,16,160,62.47,62.992,137.434,24.40234375,CAN,1976,Summer,Montreal,Swimming Women's 200 metres Breaststroke,None
"Melissa Louise Belote (-Hamlin, -Ripley)",F,19,171,60.52,67.3227,133.144,20.69696659,USA,1976,Summer,Montreal,Swimming Women's 200 metres Backstroke,None
Michael Alan Johnson,M,35,180,85.17,70.866,187.374,26.28703704,USA,1976,Summer,Montreal,"Canoeing Men's Kayak Doubles, 500 metres",None
"Michael James Grant ""Mike"" Ireland",M,36,181,80.36,71.2597,176.792,24.52916578,CAN,2010,Winter,Vancouver,Speed Skating Men's 500 metres,None
"Michael Kelvin ""Mike"" Durkin",M,23,178,67.57,70.0786,148.654,21.32622144,USA,1976,Summer,Montreal,"Athletics Men's 1,500 metres",None
"Michael Lee ""Mike"" Bruner",M,19,179,74.33,70.4723,163.526,23.19840205,USA,1976,Summer,Montreal,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
"Michael Lyle ""Mike"" Shine",M,22,183,76.43,72.0471,168.146,22.8224193,USA,1976,Summer,Montreal,Athletics Men's 400 metres Hurdles,Silver
"Miguel Santiago ""Mike"" Roche",M,23,173,66.97,68.1101,147.334,22.37629055,USA,1976,Summer,Montreal,"Athletics Men's 3,000 metres Steeplechase",None
"Millard Frank Hampton, Jr.",M,20,180,76.17,70.866,167.574,23.50925926,USA,1976,Summer,Montreal,Athletics Men's 200 metres,Silver
Miriam Smith,F,17,169,59.88,66.5353,131.736,20.96565246,USA,1976,Summer,Montreal,Swimming Women's 200 metres Backstroke,None
"Mitchell Ryan ""Mitch"" Whitmore",M,20,175,77.59,68.8975,170.698,25.3355102,USA,2010,Winter,Vancouver,Speed Skating Men's 500 metres,None
Morgan Arritola,F,23,162,53.56,63.7794,117.832,20.40847432,USA,2010,Winter,Vancouver,Cross Country Skiing Women's 10 kilometres,None
Nancy Ellen Garapick,F,14,168,54.61,66.1416,120.142,19.34878118,CAN,1976,Summer,Montreal,Swimming Women's 100 metres Backstroke,Bronze
Nancy Ingersoll Fiddler,F,31,170,58.4,66.929,128.48,20.20761246,USA,1988,Winter,Calgary,Cross Country Skiing Women's 5 kilometres,None
Nancy Louise Swider-Peltz,F,31,167,57.54,65.7479,126.588,20.63179031,USA,1988,Winter,Calgary,"Speed Skating Women's 1,000 metres",None
"Nancy Swider-Peltz, Jr.",F,23,172,69.4,67.7164,152.68,23.45862628,USA,2010,Winter,Vancouver,"Speed Skating Women's 3,000 metres",None
Natalie Grenier,F,23,171,62.67,67.3227,137.874,21.43223556,CAN,1988,Winter,Calgary,Speed Skating Women's 500 metres,None
"Nicholas Otto ""Nick"" Pearson",M,30,193,95.83,75.9841,210.826,25.72686515,USA,2010,Winter,Vancouver,Speed Skating Men's 500 metres,None
Nicole Kramer,F,14,153,51.46,60.2361,113.212,21.98299799,USA,1976,Summer,Montreal,Swimming Women's 800 metres Freestyle,None
Olivier Jean,M,25,188,83.4,74.0156,183.48,23.59665007,CAN,2010,Winter,Vancouver,Short Track Speed Skating Men's 500 metres,None
Paget Stewart,M,24,180,73.43,70.866,161.546,22.66358025,CAN,1988,Winter,Calgary,Biathlon Men's 10 kilometres Sprint,None
"Pamela Theresa ""Pam"" Jiles",F,21,168,62.87,66.1416,138.314,22.27536848,USA,1976,Summer,Montreal,Athletics Women's 4 x 400 metres Relay,Silver
"Patrice Michelle ""Pat"" Donnelly (-Shmock, -Lutz)",F,26,174,63.3,68.5038,139.26,20.90764962,USA,1976,Summer,Montreal,Athletics Women's 100 metres Hurdles,None
"Patricia Elaine ""Patty"" Loverock",F,23,173,59.9,68.1101,131.78,20.01403321,CAN,1976,Summer,Montreal,Athletics Women's 100 metres,None
"Patrick ""Pat"" Farrelly",M,41,174,69.03,68.5038,151.866,22.80023781,CAN,1976,Summer,Montreal,Athletics Men's 20 kilometres Walk,None
Paul Frederick Craig,M,22,177,68.23,69.6849,150.106,21.77854384,CAN,1976,Summer,Montreal,"Athletics Men's 1,500 metres",None
Paul Geoffrey Geis,M,23,180,66.62,70.866,146.564,20.5617284,USA,1976,Summer,Montreal,"Athletics Men's 5,000 metres",None
Paul Michael Hartloff,M,18,184,72.88,72.4408,160.336,21.52646503,USA,1976,Summer,Montreal,"Swimming Men's 1,500 metres Freestyle",None
Paul Thomas Deem,M,18,184,77.55,72.4408,170.61,22.90583648,USA,1976,Summer,Montreal,"Cycling Men's Team Pursuit, 4,000 metres",None
